kit_id,collection_date,site_name,state,region,samples_collected,air_temperature_c,barometric_pressure_inhg,weather_conditions,kit_notes
K001,12/14/2021,Crane Creek,OH,Great Lakes,"Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",4,29.83,Cloudy,NA
K004,10/5/2021,Portage River,OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",21.1111-25,30.22,Cloudy,ecosytem type TAI
K007,10/4/2021,Old Woman Creek,OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",18,29.39,Sunny,NA
K008,10/19/2021,"Mouth, Old Woman Creek National Estuarine Research Reserve",OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17.7,29.83,Sunny,NA
K009,10/18/2021,"West of Star Island, Old Woman Creek National Estuarine Research Reserve",OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",23.1,30.12058,Sunny,NA
K010,10/19/2021,"Eagle Cove, Old Woman Creek National Estuarine Research Reserve",OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22,29.83,Sunny,NA
K011,10/18/2021,"Red Trail, Old Woman Creek National Estuarine Research Reserve",OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",21.2,30.15,"Sunny, almost no wind",NA
K012,10/11/2021,Quanicassee Wildlife Area,MI,Great Lakes,"Water, Sediment, Soil - Wetland",NA,NA,NA,NA
K013,10/11/2021,Wigwam Bay State Wildlife Area,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",NA,NA,NA,NA
K014,11/18/2021,Salem River,NJ,Chesapeake Bay,"Water, Sediment",20,30.0394,Sunny,NA
K015,10/5/2021,Taskinas Creek,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",26,1,Sunny with little cloud,NA
K016,10/5/2021,"Transect 4, Catlett Islands",VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",26.83,30.12,"Sunny, Warm, 25% Cloud Cover",Samples were collected along one of our long-term (5+ years) transects at Catlett Islands (we have SETs and groundwater wells installed along this transect).
K017,10/4/2021,"Transect 1, Sweet Hall Marsh",VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",28.05,29.93,"Sunny with 50% Cloud Cover, Slight Breeze",Work was conducted along one of CBNERR-VA long-term monitoring transects at Sweet Hall Marsh (Transect 1) which has been instrumented with SETs and Groundwater Wells.
K018,10/4/2021,Goodwin Islands,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22,1,Cloudy,NA
K019,10/4/2021,Boy Scout Landing/St. Louis River,MN,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",14,30.18,"Overcast, foggy",Heavy rain last 48 hr.
K020,10/4/2021,"Tischer Creek, Lake Superior",MN,Great Lakes,"Water, Soil - Upland",20,30.18,Partly cloudy,Heavy rain last 48 hours
K021,10/11/2021,Magee Marsh Turtle Creek Bay,OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",24,30,Sunny,"Within one week of sampling there was a water control structure built near the sampling location (~10 meters). This was to reconnect the wetland unit to Turtle Creek, but there had not been any opening of the control structure prior to sampling."
