kit_id,water_latitude,water_longitude,water_elevation_m,water_collection_time_utc,water_macrophytes_algae,water_systemtype,water_volume_ml,water_notes,sediment_latitude,sediment_longitude,sediment_elevation_m,sediment_collection_time_utc,sediment_soil_type,sediment_rotten_egg_smell,sediment_color,sediment_notes,wetland_latitude,wetland_longitude,wetland_elevation_m,wetland_collection_time_utc,wetland_soil_type,wetland_soil_horizon,wetland_notes,transition_latitude,transition_longitude,transition_elevation_m,transition_collection_time_utc,transition_soil_type,transition_soil_horizon,transition_notes,upland_latitude,upland_longitude,upland_elevation_m,upland_collection_time_utc,upland_soil_type,upland_soil_horizon,upland_ecosystem_code_IGBP,upland_notes,elevation_flag
K001,41.6228,-83.2362,175,6:00:00,None,"Estuary, Lacestuary",500,Winter no vegetation. Upland site located in different area,41.6228,-83.2362,175,8:00:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",No,Dark Chocolate,NA,41.62182,-83.23883,175,6:00:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,NA,41.62186,-83.23813,175,5:30:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,NA,41.61511,-83.22979,175,5:00:00,"Nappanee silty clay loam, 0 to 3 percent slopes (NpA)",Mineral,4,NA,
K004,41.502,-83.0435,174.76,19:00:00,"Macrophytes, Algae",Tidal River,NA,Water color description: ? Check copy of form,41.502,-83.0435,174.76,19:30:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",No,"Black, Grey, Reddish",NA,41.5018,-83.0443,174.83,18:20:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,NA,41.5018,-83.0456,175.08,17:40:00,"Toledo silty clay, 0 to 1 percent slopes (To)",Organic,NA,41.5015,-83.0462,175.71,17:00:00,"Toledo silty clay, 0 to 1 percent slopes (To)",Mineral,NA,NA,NA
K007,41.3771,-82.5102,173,9:00:00,Algae,"Estuary, Lacestuary",500,NA,41.3771,-82.5102,173,9:00:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Yes,Black,NA,41.3759,-82.50713,175,8:00:00,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",Organic,NA,41.37591,-82.5064,176,7:00:00,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",Mineral,NA,41.3762,-82.50666,181,6:00:00,"Zurich silt loam, 25 to 40 percent slopes (ZuF)",Mineral,4,NA,
K008,41.3824,-82.5147,173.26,15:20:00,None,Lacestuary,390,NA,41.3824,-82.5147,173.26,15:50:00,Water (W),No,Dark Chocolate,NA,41.3826,-82.5148,175.03,15:05:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,NA,41.3827,-82.515,176.01,14:46:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,NA,41.3827,-82.515,176.01,14:57:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,5,NA,NA
K009,41.3754,-82.5164,174.49,18:38:00,Macrophytes,Lacestuary,175,NA,41.3754,-82.5164,174.49,18:57:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",No,Dark Chocolate,NA,41.3746,-82.5167,174.87,19:40:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,NA,41.3745,-82.5169,176.16,19:55:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,NA,41.3747,-82.517,177.71,20:00:00,"Zurich silt loam, 12 to 18 percent slopes, eroded (ZuD2)",Organic,5,NA,NA
K010,41.3734,-82.5091,173.26,18:39:00,Macrophytes,Lacestuary,302,NA,41.3733,-82.5092,173.26,18:58:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",No,Dark Chocolate,NA,41.3731,-82.5083,174.56,17:49:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,NA,41.3731,-82.5076,175.38,18:05:00,"Zurich silt loam, 18 to 25 percent slopes, eroded (ZuE2)",Organic,NA,41.3732,-82.5075,177.47,18:17:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",Organic,4,NA,NA
K011,41.3772,-82.51,176.09,16:10:00,"Macrophytes, Algae",Lacestuary,420,NA,41.3772,-82.51,176.09,16:47:00,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",No,Dark Chocolate,NA,41.3765,-82.5081,176.11,15:23:00,"Holly silt loam, 0 to 1 percent slopes, occasionally flooded (HoA)",Organic,NA,41.3765,-82.5081,176.11,15:44:00,"Zurich silt loam, 25 to 40 percent slopes (ZuF)",Organic,NA,41.3865,-82.5082,173.26,15:36:00,NA,Organic,4,NA,NA
K012,43.5831,-83.688,176.78,20:10:00,"Macrophytes, Algae",NA,142,surrounded by agriculture,43.5831,-83.688,176.78,20:05:00,"Aquents, ponded (75)",Yes,Dark Chocolate,surrounded by agriculture,43.583,-83.6882,176.99,19:45:00,"Aquents, ponded (75)",Organic,surrounded by agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K013,43.9688,-83.8603,177.19,17:10:00,"Macrophytes, Algae",Lake,540,second filter fell into the lake and did not include it in the returned kit,43.9688,-83.8603,177.19,18:00:00,Fresh water marsh (Fm),Yes,Black,NA,43.9687,-83.8619,177.07,16:55:00,Brevort loamy sand (Bn),Organic,NA,43.9687,-83.862,177.2,16:50:00,Brevort loamy sand (Bn),Organic,NA,43.9687,-83.8621,177.58,16:45:00,Brevort loamy sand (Bn),Organic,NA,NA,NA
K014,39.6696,-75.4661,0.97,NA,Algae,Tidal River,150,"conductivity= 215 umS/cm, water temps drop drastically in Nota (??); Dissolved Oxygen saturation 135%",39.6699,-75.4661,-0.01,16:46:00,Water (WATER),NA,NA,some sand and organics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K015,37.4147,-76.7161,0,18:30:00,None,Estuary,75,Water color description: Gray,37.4147,-76.7161,0,18:40:00,Water (W),No,"Black, Grey",NA,37.4144,-76.7153,0.67,18:05:00,Bohicket muck (6),Organic,NA,37.4142,-76.715,0.7,19:15:00,Bohicket muck (6),Organic,NA,37.4142,-76.715,0.7,19:05:00,Bohicket muck (6),Organic,6,NA,NA
K016,37.3044,-76.5539,0.24,16:35:00,None,Estuary,470,"My apologies, but I don't believe I had included the EyeonWater Color and Conductivity Measurement (32.484 us/cm) on the printed datasheet that went with the cooler.",37.3044,-76.5539,0.24,16:50:00,"Sulfaquents, frequently flooded (30)",No,Grey,Sediment were collected in the same area as the water samples.,37.3045,-76.5536,0.37,16:15:00,"Sulfaquents, frequently flooded (30)",Organic,We did not use the SoilWeb identification tool to determine soil type (apologies);  NAVD88 used for elevation,37.3047,-76.553,0.78,15:57:00,Johns sandy loam (10),Mineral,We did not use the SoilWeb identification tool to determine soil type (apologies);  NAVD88 used for elevation,37.3047,-76.5529,1.01,15:48:00,Johns sandy loam (10),Organic,5,We did not use the SoilWeb identification tool to determine soil type (apologies); NAVD88 used for elevation,NA
K017,37.5678,-76.8867,0.23,17:49:00,None,"Estuary, Tidal River",395,"The form sent in the container (printed form) from this site incorrectly stated that there were macrophytes in the location of the water/sediment sample and this was incorrect - the correct response is ""none"" (given the choices).",37.5678,-76.8867,0.23,18:27:00,"Lanexa mucky silty clay loam, 0 to 1 percent slopes, very frequently flooded (15A)",No,Grey,Sediment sample taken in general areas of water samples.,37.5687,-76.8869,0.42,17:40:00,"Lanexa mucky silty clay loam, 0 to 1 percent slopes, very frequently flooded (15A)",Organic,NA,37.5687,-76.8871,0.36,17:25:00,NA,Mineral,NA,37.5687,-76.8872,0.84,17:03:00,"Tarboro sand, 6 to 15 percent slopes (29D)",Mineral,5,"Did not use SoilWeb for identifying soil types, based on experience of field staff. Soil probe used to take soil temperature",inconsistent
K018,37.2192,-76.4136,0.18,17:15:00,None,Estuary,200,Water color description: Light brown,37.2192,-76.4136,0.18,17:30:00,Axis very fine sandy loam (3),No,Light Chocolate,NA,37.2192,-76.4136,0.18,17:35:00,Axis very fine sandy loam (3),Mineral,NA,37.2197,-76.4133,0.58,17:40:00,Axis very fine sandy loam (3),Organic,NA,37.22,-76.4128,1.1,17:45:00,Dragston fine sandy loam (13),Organic,5,NA,NA
