campaign,kit_id,transect_location,delta_do_hr,delta_do_hr_flag
EC1,K015,Sediment,77.7486197053351,TRUE
EC1,K015,Transition,100.7629855699428,TRUE
EC1,K015,Upland,0.3044477441168235,NA
EC1,K015,Wetland,85.93944808550073,TRUE
EC1,K017,Sediment,179.03403219892672,TRUE
EC1,K017,Transition,0.25071910670536846,NA
EC1,K017,Upland,0.45135715164206097,NA
EC1,K017,Wetland,49.75926282573591,NA
EC1,K018,Sediment,0.5715116908342763,NA
EC1,K018,Transition,0.3630017459292798,NA
EC1,K018,Upland,1.1985946976519972,NA
EC1,K018,Wetland,0.28914298015106427,NA
EC1,K019,Sediment,0.07890802262914881,NA
EC1,K019,Transition,0.9667491717851684,NA
EC1,K019,Upland,0.35359063246072436,NA
EC1,K019,Wetland,0.09419446955035238,NA
EC1,K021,Sediment,208.19653005783232,TRUE
EC1,K021,Transition,1.526881932919273,NA
EC1,K021,Upland,0.6225431607941773,NA
EC1,K021,Wetland,1.2723253260682346,NA
EC1,K022,Transition,0.11002514263148125,NA
EC1,K022,Upland,0.18481857281053085,NA
EC1,K022,Wetland,2.9999500008333193,NA
EC1,K025,Sediment,0.40136713309302746,NA
EC1,K025,Transition,3.130577686136807,NA
EC1,K025,Upland,0.7938934892011611,NA
EC1,K025,Wetland,4.400775674469488,NA
EC1,K026,Sediment,30.08349860835653,NA
EC1,K026,Transition,0.7288952902528885,NA
EC1,K026,Upland,0.17862078782907714,NA
EC1,K026,Wetland,55.716919615420665,TRUE
EC1,K030,Sediment,59.1101610172128,TRUE
EC1,K030,Transition,0.011225716404468379,NA
EC1,K030,Upland,2.2100754515267282,NA
EC1,K030,Wetland,0.21854460941943263,NA
EC1,K034,Sediment,207.9917332644439,TRUE
EC1,K034,Transition,0.41628730779887424,NA
EC1,K034,Upland,0.22542663006319527,NA
EC1,K034,Wetland,147.9567120730651,TRUE
EC1,K037,Sediment,99.9185197256337,TRUE
EC1,K037,Transition,0.2861500308201007,NA
EC1,K037,Upland,0.5276654502416408,NA
EC1,K037,Wetland,22.006668243890896,NA
EC1,K041,Sediment,0.3911827081122641,NA
EC1,K041,Transition,2.026077631565761,NA
EC1,K041,Upland,0.7365848503432875,NA
EC1,K041,Wetland,0.26092260815515533,NA
EC1,K044,Sediment,90.49079345608723,TRUE
EC1,K044,Transition,0.8222458308363646,NA
EC1,K044,Upland,6.095788468865022,NA
EC1,K044,Wetland,49.61278208019911,NA
EC1,K050,Sediment,0.2304239967990055,NA
EC1,K050,Transition,0.1193785378849861,NA
EC1,K050,Upland,1.3475416217039589,NA
EC1,K050,Wetland,294.2,TRUE
EC1,K052,Sediment,76.8889320981653,TRUE
EC1,K052,Transition,0.4239208378480099,NA
EC1,K052,Upland,0.22147303294528572,NA
EC1,K054,Sediment,0.3151751392861516,NA
EC1,K054,Transition,2.7624549672089387,NA
EC1,K054,Upland,0.47703873768305727,NA
EC1,K054,Wetland,1.3818530187356173,NA
EC1,K059,Sediment,7.592126646744613,NA
EC1,K059,Transition,25.523097008361034,NA
EC1,K059,Upland,1.574388339632758,NA
EC1,K059,Wetland,15.02355729981213,NA
EC1,K062,Sediment,70.5131229423288,TRUE
EC1,K062,Transition,0.28499065624941594,NA
EC1,K062,Upland,0.19476681022618214,NA
EC1,K062,Wetland,131.0736615539926,TRUE
