campaign,kit_id,transect_location,bulk_density_g_cm3,bulk_density_flag
EC1,K027,Wetland,0.08272017837235231,NA
EC1,K011,Wetland,NA,NA
EC1,K017,Wetland,0.18249158249158248,NA
EC1,K053,Wetland,0.2402922755741127,NA
EC1,K039,Wetland,0.09527638190954774,NA
EC1,K015,Wetland,0.22177246038479378,NA
EC1,K033,Wetland,0.37151515151515146,NA
EC1,K047,Wetland,0.05269993164730006,NA
EC1,K019,Wetland,1.5644767139048492,NA
EC1,K008,Transition,NA,NA
EC1,K009,Transition,NA,NA
EC1,K056,Transition,NA,NA
EC1,K061,Transition,1.1418484844684496,NA
EC1,K054,Transition,0.10288184438040346,NA
EC1,K022,Wetland,0.38256227758007116,NA
EC1,K059,Transition,0.1567247149085325,NA
EC1,K052,Transition,1.6501374594732963,NA
EC1,K051,Transition,NA,NA
EC1,K034,Transition,0.2170542635658915,NA
EC1,K013,Transition,0.5949233136726912,NA
EC1,K022,Transition,0.2262693156732892,NA
EC1,K010,Transition,0.7549707602339182,NA
EC1,K025,Transition,0.4058608058608059,NA
EC1,K048,Transition,0.3526849662641118,NA
EC1,K004,Transition,0.39238095238095233,NA
EC1,K026,Transition,0.38450160339441525,NA
EC1,K016,Transition,1.235608636576629,NA
EC1,K045,Transition,0.17327808361318614,NA
EC1,K018,Transition,0.9931889427224634,NA
EC1,K018,Transition,1.0124119545170918,NA
EC1,K049,Transition,1.3766666666666665,NA
EC1,K062,Transition,0.37725752508361204,NA
EC1,K041,Transition,0.10212093991730567,NA
EC1,K035,Transition,0.2719101123595506,NA
EC1,K036,Transition,0.1912568306010929,NA
EC1,K044,Transition,0.1576407229015425,NA
EC1,K021,Transition,0.28189189189189184,NA
EC1,K050,Transition,0.9210843373493975,NA
EC1,K011,Transition,0.7062599892254203,NA
EC1,K053,Transition,0.8266272189349112,NA
EC1,K024,Transition,NA,NA
EC1,K039,Transition,0.12982689747003995,NA
EC1,K027,Transition,1.4912698412698415,NA
EC1,K047,Transition,0.8623456790123456,NA
EC1,K019,Transition,1.2977611940298508,NA
EC1,K019,Transition,1.0937106918238995,NA
EC1,K015,Transition,0.939766081871345,NA
EC1,K017,Transition,0.7048648648648649,NA
EC1,K058,Transition,NA,NA
EC1,K007,Wetland,NA,NA
EC1,K007,Transition,NA,NA
EC1,K001,Wetland,NA,NA
EC1,K001,Transition,NA,NA
EC1,K033,Upland,0.5919367876447071,NA
